efa_fy,school_year,school_name,math_percentile,ela_percentile,source_file
35,2024-25,Madonna Learning Center,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Maranatha Baptist Christian School,32,33,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Mount St. Mary Academy,51,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Mountain Home Christian Academy,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,New Life Christian Academy,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,North Little Rock Catholic Academy,49,43,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,North River Christian Academy,51,49,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Oaks Christian Academy,71,71,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Our Lady of Fatima School,39,48,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Our Lady of the Holy Souls,56,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Ozark Catholic Academy,50,51,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Pinnacle Classical Academy,85,75,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,PLUM St. Howard's Academy,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Prism North America,48,55,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Providence Classical Christian Academy,58,54,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Pulaski Academy,60,60,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Ridgefield Christian School (Jonesboro),44,55,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Room to Bloom,91,88,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Russellville Baptist Academy,68,69,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Sacred Heart School,49,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Saline County Christian School,42,64,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Searcy Christian Academy,64,71,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Sherwood Christian Academy,56,46,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Shiloh Christian School,59,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Shiloh Excel Christian School,38,27,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,South Arkansas Christian School,49,54,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Southwest Christian Academy,59,56,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. John Catholic School (Russellville),61,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. John's Catholic School (Hot Springs),59,68,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Joseph Catholic School (Conway),52,53,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Joseph Catholic School (Fayetteville),63,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Joseph School (Paris),62,62,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Mary School,38,45,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Michael's Catholic School,58,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Paul Catholic School,51,53,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Theresa Catholic School,28,29,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,St. Vincent de Paul Catholic School,70,69,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Subiaco Academy,47,53,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Thaden School,78,82,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Academy of TLC,2,6,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Anthony School,64,65,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Decker School,51,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Delta Institute for the Developing Brain,,,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Divine Learning Academy,55,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Grace School,9,8,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Hill School,50,47,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The Huda Academy,52,51,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,The New School,67,68,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Trinity Catholic School,39,43,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Trinity Christian School (Bradford),25,39,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Trinity Christian School (Texarkana),57,66,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Union Christian Academy,56,57,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Valley Christian School,61,61,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Victory Christian School (Camden),69,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Walnut Farm Montessori School,57,66,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,West Memphis Christian School,33,41,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,West Side Christian School,43,46,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Wisdom and Truth Classical Academy,96,97,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,World Harvest Baptist Academy (Russellville),87,44,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
35,2024-25,Total,57,59,2024-25_Arkansas_Education_Freedom_Accounts_Program_Annual_Report_100125_OSCPE.pdf
